id,gene,title,abstract,authors,journal,year,keywords,summary
1,53BP1 AND RIF1,An AlphaFold2 map of the 53BP1 pathway identifies a direct SHLD3-RIF1 interaction critical for shieldin activity.,"53BP1 is a chromatin-binding protein that promotes DNA double-strand break repair through the recruitment of downstream effectors including RIF1, shieldin, and CST. The structural basis of the protein-protein interactions within the 53BP1-RIF1-shieldin-CST pathway that are essential for its DNA repair activity is largely unknown. Here, we used AlphaFold2-Multimer (AF2) to predict all possible pairwise combinations of proteins within this pathway and provide structural models of seven previously characterized interactions. This analysis also predicted an entirely novel binding interface between the HEAT-repeat domain of RIF1 and the eIF4E-like domain of SHLD3. Extensive interrogation of this interface through both in vitro pulldown analysis and cellular assays supports the AF2-predicted model and demonstrates that RIF1-SHLD3 binding is essential for shieldin recruitment to sites of DNA damage, and for its role in antibody class switch recombination and PARP inhibitor sensitivity. Direct physical interaction between RIF1 and SHLD3 is therefore essential for 53BP1-RIF1-shieldin-CST pathway activity.","Chérine Sifri, Lisa Hoeg, Daniel Durocher, Dheva Setiaputra",EMBO reports,2023,," 53BP1, recruit, RIF1; RIF1, interact with, SHLD3; RIF1-SHLD3 interaction, essential for shieldin recruitment and PARP inhibitor sensitivity; Context: DNA double strand break in G1"
2,53BP1 AND RIF1,PARylation of BRCA1 limits DNA break resection through BRCA2 and EXO1.,"The nucleolytic processing (resection) of a DNA double-strand break (DSB) is a critical step to repair the lesion by homologous recombination (HR). PARylation, which is the attachment of poly(ADP-ribose) (PAR) units to specific targets by PAR polymerases (PARPs), regulates many steps of HR, including resection. Here, we show that preventing PARylation of the oncosuppressor BRCA1 induces hyper-resection of DSBs through BRCA2 and the EXO1 nuclease. Upon expression of the unPARylatable variant of BRCA1, we observe a reduced 53BP1-RIF1 barrier for resection accompanied by an increase in the recruitment of the RAD51 recombinase. Similar results are observed when cells are treated with the clinically approved PARP inhibitor olaparib. We propose that PARylation of BRCA1 is important to limit the formation of excessively extended DNA filaments, thereby reducing illegitimate chromosome rearrangements. Our results shed light on molecular aspects of HR and on the mechanisms of PARP inhibitor treatment.","Samuele Lodovichi, Roberto Quadri, Sarah Sertic, Achille Pellicioli",Cell reports,2023,," BRCA1, prevent PARylation, hyper-resection; BRCA1, reduce 53BP1-RIF1 barrier, increase RAD51 recruitment; Olaparib treatment, similar results; Context: HR repair, DNA DSB, unPARylatable BRCA1"
3,53BP1 AND RIF1,RIF1 suppresses the formation of single-stranded ultrafine anaphase bridges via protein phosphatase 1.,"Resolution of ultrafine anaphase bridges (UFBs) must be completed before cytokinesis to ensure sister-chromatid disjunction. RIF1 is involved in UFB resolution by a mechanism that is not yet clear. Here, we show that RIF1 functions in mitosis to inhibit the formation of 53BP1 nuclear bodies and micronuclei. Meanwhile, RIF1 localizes on PICH-coated double-stranded UFBs but not on RPA-coated single-stranded UFBs. Depletion of RIF1 leads to an elevated level of RPA-coated UFBs, in a BLM-dependent manner. RIF1 interacts with all three isoforms of protein phosphatase 1 (PP1) at its CI domain in anaphase when CDK1 activity declines. CDK1 negatively regulates RIF1-PP1 interaction via the CIII domain of RIF1. Importantly, depletion of PP1 phenocopies RIF1 depletion, and phosphorylation-resistant mutant of PICH shows reduced interaction with the BTR complex and bypasses the need of RIF1 in preventing the formation of single-stranded UFBs. Overall, our data show that PP1 is the effector of RIF1 in UFB resolution.","Nannan Kong, Zeyuan Liu, Ying Wai Chan",Cell reports,2023,," 1. RIF1, inhibit, UFB resolution; 2. RIF1, localize on PICH-coated, not RPA-coated UFBs; 3. RIF1 depletion, elevated level of RPA-coated UFBs, BLM dependent; 4. RIF1, interact with PP1 at CI domain in anaphase; 5. CDK1 negatively regulate RIF1-PP1 interaction via CIII domain; 6. Depletion of PP1 phenocopies RIF1 depletion; 7. Phosphorylation-resistant PICH, reduced interaction with BTR complex, bypasses need of RIF1; Context: Mitosis, CDK1 activity decline
### Alternative:
 1. UFB resolution, inhibit, RIF1; 2. RIF1, localize on PICH-coated UFBs, not RPA-coated UFBs; 3. RIF1 depletion, elevate RPA-coated UFBs, BLM dependent; 4. RIF1, interact with PP1 at anaphase CI domain; 5. CDK1 negatively regulate RIF1-PP1 interaction via CIII domain; 6. Depletion of PP1 mimics RIF1 depletion; 7. PICH phosphorylation-resistant, reduced BTR complex interaction, bypasses RIF1; Context: Mitosis, CDK1 activity decline"
4,53BP1 AND RIF1,CST/Polα/primase-mediated fill-in synthesis at DSBs.,"DNA double-strand breaks (DSBs) pose a major threat to the genome, so the efficient repair of such breaks is essential. DSB processing and repair is affected by 53BP1, which has been proposed to determine repair pathway choice and/or promote repair fidelity. 53BP1 and its downstream effectors, RIF1 and shieldin, control 3' overhang length, and the mechanism has been a topic of intensive research. Here, we highlight recent evidence that 3' overhang control by 53BP1 occurs through fill-in synthesis of resected DSBs by CST/Polα/primase. We focus on the crucial role of fill-in synthesis in BRCA1-deficient cells treated with PARPi and discuss the notion of fill-in synthesis in other specialized settings and in the repair of random DSBs. We argue that - in addition to other determinants - repair pathway choice may be influenced by the DNA sequence at the break which can impact CST binding and therefore the deployment of Polα/primase fill-in.","Zachary Mirman, Sarah Cai, Titia de Lange","Cell cycle (Georgetown, Tex.)",2023,," 53BP1, inhibit, DNA end resection; 53BP1, interact with, RIF1 & shieldin; 53BP1, promote, fill-in synthesis by CST/Polα/primase; Context: BRCA1 deficiency, PARPi exposure, repair pathway choice, DNA sequence at break
### Alternative response:
 53BP1, inhibit, DNA end resection; 53BP1, interact with, RIF1 & shieldin; CST/Polα/primase, promote, fill-in synthesis; Context: BRCA1 deficiency, PARPi exposure, repair pathway choice, DNA sequence at break"
5,53BP1 AND RIF1,Temporal phosphoproteomics reveals WEE1-dependent control of 53BP1 pathway.,"Wee1-like protein kinase (WEE1) restrains activities of cyclin-dependent kinases (CDKs) in S and G2 phase. Inhibition of WEE1 evokes drastic increase in CDK activity, which perturbs replication dynamics and compromises cell cycle checkpoints. Notably, WEE1 inhibitors such as adavosertib are tested in cancer treatment trials; however, WEE1-regulated phosphoproteomes and their dynamics have not been systematically investigated. In this study, we identified acute time-resolved alterations in the cellular phosphoproteome following WEE1 inhibition with adavosertib. These treatments acutely elevated CDK activities with distinct phosphorylation dynamics revealing more than 600 potential uncharacterized CDK sites. Moreover, we identified a major role for WEE1 in controlling CDK-dependent phosphorylation of multiple clustered sites in the key DNA repair factors MDC1, 53BP1, and RIF1. Functional analysis revealed that WEE1 fine-tunes CDK activities to permit recruitment of 53BP1 to chromatin. Thus, our findings uncover WEE1-controlled targets and pathways with translational potential for the clinical application of WEE1 inhibitors.","Valdemaras Petrosius, Jan Benada, Olaf Nielsen, Erwin M Schoof, Claus Storgaard Sørensen",iScience,2023,," WEE1, restrain, CDKs; WEE1 inhibition, increase, CDK activity; WEE1 inhibition, alter, phosphoproteome; WEE1, control, CDK-dependent phosphorylation, MDC1, 53BP1, RIF1; WEE1, recruitment of 53BP1 to chromatin Context: DNA double strand break in G1

WEE1, inhibit, CDKs; WEE1 inhibition, elevate, CDK activities; WEE1 inhibition, acutely alter, phosphorylation dynamics; WEE1, regulate, CDK-dependent phosphorylation, MDC1, 53BP1, RIF1; WEE1, recruitment of 53BP1 to chromatin Context: DNA double strand break in G1"
6,53BP1 AND RIF1,Incorporation of 53BP1 into phase-separated bodies in cancer cells during aberrant mitosis.,"53BP1 (also known as TP53BP1) is a key mediator of the non-homologous end joining (NHEJ) DNA repair pathway, which is the primary repair pathway in interphase cells. However, the mitotic functions of 53BP1 are less well understood. Here, we describe 53BP1 mitotic stress bodies (MSBs) formed in cancer cell lines in response to delayed mitosis. These bodies displayed liquid-liquid phase separation characteristics, were close to centromeres, and included lamin A/C and the DNA repair protein RIF1. After release from mitotic arrest, 53BP1 MSBs decreased in number and moved away from the chromatin. Using GFP fusion constructs, we found that the 53BP1 oligomerization domain region was required for MSB formation, and that inclusion of the 53BP1 N terminus increased MSB size. Exogenous expression of 53BP1 did not increase MSB size or number but did increase levels of MSB-free 53BP1. This was associated with slower mitotic progression, elevated levels of DNA damage and increased apoptosis, which is consistent with MSBs suppressing a mitotic surveillance by 53BP1 through sequestration. The 53BP1 MSBs, which were also found spontaneously in a subset of normally dividing cancer cells but not in non-transformed cells (ARPE-19), might facilitate the survival of cancer cells following aberrant mitoses. This article has an associated First Person interview with the first author of the paper.","Marina Bleiler, Aiyana Cyr, Dennis L Wright, Charles Giardina",Journal of cell science,2023,," 53BP1, form, MSBs; 53BP1, interact with, lamin A/C & RIF1; 53BP1 oligomerization domain, required for, MSB formation; Context: cancer cell lines, mitotic stress, non-transformed cells"
7,53BP1 AND RIF1,CCAR2 functions downstream of the Shieldin complex to promote double-strand break end-joining.,"The 53BP1-RIF1 pathway restricts the resection of DNA double-strand breaks (DSBs) and promotes blunt end-ligation by non-homologous end joining (NHEJ) repair. The Shieldin complex is a downstream effector of the 53BP1-RIF1 pathway. Here, we identify a component of this pathway, CCAR2/DBC1, which is also required for restriction of DNA end-resection. CCAR2 co-immunoprecipitates with the Shieldin complex, and knockout of CCAR2 in a BRCA1-deficient cell line results in elevated DSB end-resection, RAD51 loading, and PARP inhibitor (PARPi) resistance. Knockout of CCAR2 is epistatic with knockout of other Shieldin proteins. The S1-like RNA-binding domain of CCAR2 is required for its interaction with the Shieldin complex and for suppression of DSB end-resection. CCAR2 functions downstream of the Shieldin complex, and CCAR2 knockout cells have delayed resolution of Shieldin complex foci. Forkhead-associated (FHA)-dependent targeting of CCAR2 to DSB sites re-sensitized BRCA1-/-SHLD2-/- cells to PARPi. Taken together, CCAR2 is a functional component of the 53BP1-RIF1 pathway, promotes the refill of resected DSBs, and suppresses homologous recombination.","Divya Ramalingam Iyer, Naoya Harada, Connor Clairmont, Lige Jiang, David Martignetti, Huy Nguyen, Yizhou Joseph He, Dipanjan Chowdhury, Alan D D'Andrea",Proceedings of the National Academy of Sciences of the United States of America,2022,," 1. 53BP1, inhibit, DNA end resection; CCAR2, interact with, Shieldin complex; 2. CCAR2 depletion, increase, DSB end-resection, RAD51 loading, PARPi resistance; 3. CCAR2, downstream, Shieldin complex; 4. Context: BRCA1-deficient cell line, G1 phase DNA double strand break, PARP inhibitor exposure"
8,53BP1 AND RIF1,MAD2L2 promotes replication fork protection and recovery in a shieldin-independent and REV3L-dependent manner.,"Protection of stalled replication forks is essential to prevent genome instability, a major driving force of tumorigenesis. Several key regulators of DNA double-stranded break (DSB) repair, including 53BP1 and RIF1, have been implicated in fork protection. MAD2L2, also known as REV7, plays an important role downstream of 53BP1/RIF1 by counteracting resection at DSBs in the recently discovered shieldin complex. The ability to bind and counteract resection at exposed DNA ends at DSBs makes MAD2L2/shieldin a prime candidate for also suppressing nucleolytic processing at stalled replication forks. However, the function of MAD2L2/shieldin outside of DNA repair is unknown. Here we address this by using genetic and single-molecule analyses and find that MAD2L2 is required for protecting and restarting stalled replication forks. MAD2L2 loss leads to uncontrolled MRE11-dependent resection of stalled forks and single-stranded DNA accumulation, which causes irreparable genomic damage. Unexpectedly, MAD2L2 limits resection at stalled forks independently of shieldin, since fork protection remained unaffected by shieldin loss. Instead, MAD2L2 cooperates with the DNA polymerases REV3L and REV1 to promote fork stability. Thus, MAD2L2 suppresses aberrant nucleolytic processing both at DSBs and stalled replication forks by differentially engaging shieldin and REV1/REV3L, respectively.","Inés Paniagua, Zainab Tayeh, Mattia Falcone, Santiago Hernández Pérez, Aurora Cerutti, Jacqueline J L Jacobs",Nature communications,2022,," 1. 53BP1, inhibit, DNA end resection; 2. MAD2L2, protect, stalled replication forks; 3. MAD2L2 loss, uncontrolled resection, single-stranded DNA accumulation; 4. Context: Stalled replication forks in cells

1. RIF1, recruit, 53BP1; 2. MAD2L2, counteract, resection at DSBs; 3. MAD2L2 loss, unaffected by shieldin loss, fork protection; 4. Context: DNA double strand break in G1

1. MAD2L2, cooperate, REV3L and REV1; 2. MAD2L2, suppress, aberrant nucleolytic processing at DSBs and stalled replication forks; 3. MAD2L2, engage, shieldin and REV1/REV3L differently; 4. Context: DNA repair outside of DSBs"
9,53BP1 AND RIF1,Histone chaperone ASF1 acts with RIF1 to promote DNA end joining in BRCA1-deficient cells.,"Replication timing regulatory factor 1 (RIF1) acts downstream of p53-binding protein 53BP1 to inhibit the resection of DNA broken ends, which plays critical roles in determining the DNA double-strand break repair pathway choice between nonhomologous end joining and homologous recombination (HR). However, the mechanism by which this choice is made is not yet clear. In this study, we identified that histone chaperone protein ASF1 associates with RIF1 and regulates RIF1-dependent functions in the DNA damage response. Similar to loss of RIF1, we found that loss of ASF1 resulted in resistance to poly (ADP-ribose) polymerase (PARP) inhibition in BRCA1-deficient cells with restored HR and decreased telomere fusion in telomeric repeat-binding protein 2 (TRF2)-depleted cells. Moreover, we showed that these functions of ASF1 are dependent on its interaction with RIF1 but not on its histone chaperone activity. Thus, our study supports a new role for ASF1 in dictating double-strand break repair choice. Considering that the status of 53BP1-RIF1 axis is important in determining the outcome of PARP inhibitor-based therapy in BRCA1- or HR-deficient cancers, the identification of ASF1 function in this critical pathway uncovers an interesting connection between these S-phase events, which may reveal new strategies to overcome PARP inhibitor resistance.","Mengfan Tang, Zhen Chen, Chao Wang, Xu Feng, Namsoo Lee, Min Huang, Huimin Zhang, Siting Li, Yun Xiong, Junjie Chen",The Journal of biological chemistry,2022,," 1. RIF1, downstream, p53BP1; 2. RIF1, inhibit, DNA end resection; 3. ASF1, regulate, RIF1-dependent functions; 4. ASF1 loss, resistance to PARPi exposure, HR restoration; 5. ASF1, interaction with, RIF1; 6. Context: 53BP1-RIF1 axis, BRCA1- or HR-deficient cancers, PARP inhibitor-based therapy

2. p53BP1, recruit, RIF1; 1. RIF1, downstream, DNA end resection; 2. ASF1, regulate, RIF1-dependent functions; 3. ASF1 loss, resistance to PARPi exposure, HR restoration; 4. ASF1, interaction with, RIF1; 5. Context: 53BP1-RIF1 axis, BRCA1- or HR-deficient cancers, PARP inhibitor-based therapy

3. DNA end resection, downstream, p53BP1; 1. ASF1, regulate, RIF1-dependent functions; 2. RIF1, inhibit, DNA end resection; 3. ASF1 loss, resistance to PARPi exposure, HR restoration; 4. ASF1, interaction with, RIF1; 5. Context: 53BP1-RIF1 axis, BRCA1- or HR-deficient cancers, PARP inhibitor-based therapy

4. p53BP1 depletion, resistance to PARPi exposure; 1. RIF1, inhibit, DNA end resection; 2. ASF1, regulate, RIF1-dependent functions; 3. ASF1 loss, resistance to PARPi exposure, HR restoration; 4. ASF1, interaction with, RIF1; 5. Context: 53BP1-RIF1 axis, BRCA1- or HR-deficient cancers, PARP inhibitor-based therapy

5. ASF1 loss, resistance to PARPi exposure, HR restoration; 1. RIF1, inhibit, DNA end resection; 2. ASF1, regulate, RIF1-dependent functions; 3. ASF1, interaction with, RIF1; 4. Context: 53BP1-RIF1 axis, BRCA1- or HR-deficient cancers, PARP inhibitor-based therapy

6. ASF1, interaction with, RIF1; 1. RIF1, downstream, p53BP1; 2. RIF1, inhibit, DNA end resection; 3. ASF1 loss, resistance to PARPi exposure, HR restoration; 4. Context: 53BP1-RIF1 axis, BRCA1- or HR-deficient cancers, PARP inhibitor-based therapy

7. Context: 53BP1-RIF1 axis, BRCA1- or HR-deficient cancers, PARP inhibitor-based therapy; 1. RIF1, downstream, p53BP1; 2. RIF1, inhibit, DNA end resection; 3. ASF1 loss, resistance to PARPi exposure, HR restoration; 4. ASF1, interaction with, RIF1"
